"LSOA name","Anti-social behaviour","Other theft","Shoplifting","Theft from the person","Vehicle crime","Violence and sexual offences"
"Hillingdon 031A",194,1139,265,64,243,673
"Kingston upon Thames 009C",210,313,808,338,45,510
"Newham 039D",94,486,1090,815,144,335
"Westminster 011B",120,693,683,1547,126,202
"Westminster 013B",203,2331,421,5428,71,793
"Westminster 013D",113,707,214,1390,123,234
"Westminster 013G",329,3040,1588,6137,602,816
"Westminster 018A",256,2204,267,3749,317,1129
"Westminster 018B",200,843,352,1061,47,288
"Westminster 018C",288,1146,243,2234,131,762
